Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
2023-05-01 00:00:00+00:00,1870.08,1886.49,1806.12,1830.73,445519.1779,2023-05-01 23:59:59.999000+00:00,818821593.694849,647788.0,220514.8113,405281273.929108
2023-05-02 00:00:00+00:00,1830.73,1881.87,1822.94,1870.08,373753.2027,2023-05-02 23:59:59.999000+00:00,690907892.110455,563768.0,184439.1031,340877324.218158
2023-05-03 00:00:00+00:00,1870.09,1916.52,1842.64,1905.12,465185.2501,2023-05-03 23:59:59.999000+00:00,871222153.959792,751579.0,239749.0806,449104177.864072
2023-05-04 00:00:00+00:00,1905.12,1918.26,1866.71,1877.07,354528.6144,2023-05-04 23:59:59.999000+00:00,670584503.659619,525802.0,172127.9509,325526383.589932
2023-05-05 00:00:00+00:00,1877.07,1998.36,1875.65,1993.3,546608.875,2023-05-05 23:59:59.999000+00:00,1061183389.068112,803612.0,281818.2188,546945491.993123
2023-05-06 00:00:00+00:00,1993.3,2019.0,1860.0,1896.33,608106.9915,2023-05-06 23:59:59.999000+00:00,1169939393.312777,868626.0,309602.2227,595756528.400797
2023-05-07 00:00:00+00:00,1896.33,1933.33,1867.59,1870.4,413268.8357,2023-05-07 23:59:59.999000+00:00,787566158.198456,625667.0,198046.1876,377209171.372105
2023-05-08 00:00:00+00:00,1870.41,1883.97,1810.73,1847.56,625316.6168,2023-05-08 23:59:59.999000+00:00,1157603209.761854,885693.0,308193.8507,570302849.746665
2023-05-09 00:00:00+00:00,1847.55,1861.88,1830.99,1846.52,304396.186,2023-05-09 23:59:59.999000+00:00,561440259.790895,517737.0,154195.2071,284409845.645079
2023-05-10 00:00:00+00:00,1846.53,1887.47,1790.51,1840.84,639933.3855,2023-05-10 23:59:59.999000+00:00,1182254717.032215,802140.0,315762.3953,583244341.867981
2023-05-11 00:00:00+00:00,1840.83,1842.02,1772.68,1794.3,522096.0725,2023-05-11 23:59:59.999000+00:00,944525427.027942,679625.0,256341.5035,463715175.204272
2023-05-12 00:00:00+00:00,1794.31,1818.63,1740.0,1807.45,565539.8309,2023-05-12 23:59:59.999000+00:00,1002104362.594411,696930.0,272766.5815,483569848.957916
2023-05-13 00:00:00+00:00,1807.45,1817.03,1785.23,1795.11,212895.4373,2023-05-13 23:59:59.999000+00:00,383397322.744781,342566.0,107960.5618,194416969.777289
2023-05-14 00:00:00+00:00,1795.12,1824.0,1789.82,1799.21,218101.0977,2023-05-14 23:59:59.999000+00:00,393557662.80186,348092.0,112091.4998,202267370.369558
2023-05-15 00:00:00+00:00,1799.2,1846.7,1785.05,1816.2,388171.9261,2023-05-15 23:59:59.999000+00:00,708011632.174709,503728.0,200878.5212,366433193.428354
2023-05-16 00:00:00+00:00,1816.21,1832.64,1796.2,1824.21,311238.6786,2023-05-16 23:59:59.999000+00:00,565367254.106777,466058.0,145796.2684,264839999.726318
2023-05-17 00:00:00+00:00,1824.21,1837.5,1783.68,1822.12,352097.9913,2023-05-17 23:59:59.999000+00:00,637776970.833855,524718.0,174614.8238,316362266.891233
2023-05-18 00:00:00+00:00,1822.12,1831.92,1771.12,1800.56,293755.311,2023-05-18 23:59:59.999000+00:00,531357170.827152,480171.0,142539.4053,257898809.718076
2023-05-19 00:00:00+00:00,1800.56,1829.54,1796.81,1812.32,243116.4676,2023-05-19 23:59:59.999000+00:00,440291732.350879,390917.0,125305.6452,226950073.642058
2023-05-20 00:00:00+00:00,1812.31,1828.87,1807.06,1819.42,127754.4349,2023-05-20 23:59:59.999000+00:00,232010582.306628,272744.0,67168.5635,122004402.445928
2023-05-21 00:00:00+00:00,1819.42,1828.98,1797.21,1804.91,161517.8053,2023-05-21 23:59:59.999000+00:00,292535613.878124,308391.0,76815.2518,139145313.568439
2023-05-22 00:00:00+00:00,1804.91,1828.27,1792.01,1817.35,237498.9423,2023-05-22 23:59:59.999000+00:00,430673377.916653,411867.0,123914.6884,224774189.867085
2023-05-23 00:00:00+00:00,1817.36,1872.5,1815.24,1854.05,396869.6097,2023-05-23 23:59:59.999000+00:00,734581474.722466,548587.0,222549.7769,411731244.578506
2023-05-24 00:00:00+00:00,1854.06,1854.09,1777.6,1799.89,420846.1445,2023-05-24 23:59:59.999000+00:00,761360360.597887,554307.0,193455.1113,349797434.176159
2023-05-25 00:00:00+00:00,1799.89,1818.81,1761.41,1805.6,350633.0089,2023-05-25 23:59:59.999000+00:00,628769352.442571,482899.0,164410.1627,294794104.354962
2023-05-26 00:00:00+00:00,1805.61,1838.2,1796.99,1827.79,275690.6854,2023-05-26 23:59:59.999000+00:00,501773973.879937,375854.0,140633.1075,255923842.594071
2023-05-27 00:00:00+00:00,1827.8,1836.12,1812.18,1829.89,138824.9406,2023-05-27 23:59:59.999000+00:00,253710138.250563,276383.0,69580.6479,127156321.87459
2023-05-28 00:00:00+00:00,1829.89,1918.65,1823.6,1908.64,378392.4371,2023-05-28 23:59:59.999000+00:00,705699886.229488,549727.0,194805.8607,363152161.536748
2023-05-29 00:00:00+00:00,1908.64,1927.62,1873.65,1892.6,313593.4942,2023-05-29 23:59:59.999000+00:00,596236148.909885,445895.0,158390.3448,301175186.439594
2023-05-30 00:00:00+00:00,1892.6,1917.0,1881.19,1900.59,272665.8402,2023-05-30 23:59:59.999000+00:00,519059196.247416,422249.0,134288.1609,255644547.737627
2023-05-31 00:00:00+00:00,1900.58,1907.13,1846.95,1873.63,319255.5681,2023-05-31 23:59:59.999000+00:00,597360395.544034,451133.0,149451.087,279624016.04226
2023-06-01 00:00:00+00:00,1873.63,1889.2,1840.0,1861.78,270496.6097,2023-06-01 23:59:59.999000+00:00,504448237.27338,422899.0,132786.9324,247622735.209231
2023-06-02 00:00:00+00:00,1861.78,1910.0,1847.51,1906.68,313004.0658,2023-06-02 23:59:59.999000+00:00,591169483.099447,456788.0,157874.0403,298230534.993066
2023-06-03 00:00:00+00:00,1906.69,1907.92,1881.6,1892.06,148818.2427,2023-06-03 23:59:59.999000+00:00,282550389.946688,292512.0,71248.1015,135269927.949346
2023-06-04 00:00:00+00:00,1892.05,1914.63,1884.22,1890.01,172683.0119,2023-06-04 23:59:59.999000+00:00,328166899.062354,289973.0,85783.1201,163026354.238026
2023-06-05 00:00:00+00:00,1890.0,1890.63,1778.0,1810.5,555361.2683,2023-06-05 23:59:59.999000+00:00,1017689609.362256,688879.0,253634.645,464638835.759449
2023-06-06 00:00:00+00:00,1810.49,1898.29,1797.18,1884.64,491407.2174,2023-06-06 23:59:59.999000+00:00,907660359.425966,616201.0,254098.0244,469823908.553932
2023-06-07 00:00:00+00:00,1884.65,1897.8,1821.18,1832.13,429196.7064,2023-06-07 23:59:59.999000+00:00,796856688.866713,594071.0,201074.7993,373411267.734446
2023-06-08 00:00:00+00:00,1832.12,1861.28,1828.31,1845.64,189270.4853,2023-06-08 23:59:59.999000+00:00,349160385.10498,347990.0,89218.1306,164597259.318507
2023-06-09 00:00:00+00:00,1845.65,1855.0,1827.0,1840.37,198324.3252,2023-06-09 23:59:59.999000+00:00,365037779.742887,354623.0,92841.2883,170881394.316314
2023-06-10 00:00:00+00:00,1840.37,1844.99,1715.03,1751.53,652324.6695,2023-06-10 23:59:59.999000+00:00,1148312156.525596,877410.0,298962.6533,525884490.138605
2023-06-11 00:00:00+00:00,1751.52,1778.25,1738.72,1752.76,219956.2434,2023-06-11 23:59:59.999000+00:00,385656545.950238,378921.0,104970.1039,184058191.293455
2023-06-12 00:00:00+00:00,1752.77,1759.33,1720.0,1742.57,302132.4819,2023-06-12 23:59:59.999000+00:00,525467514.619609,467392.0,154579.0466,268848228.1776
2023-06-13 00:00:00+00:00,1742.57,1770.13,1724.22,1740.12,284268.0018,2023-06-13 23:59:59.999000+00:00,495907901.668493,498880.0,147060.3735,256562479.934
2023-06-14 00:00:00+00:00,1740.12,1750.03,1630.43,1650.95,415847.327,2023-06-14 23:59:59.999000+00:00,705586390.233981,572996.0,198035.006,335772562.742377
2023-06-15 00:00:00+00:00,1650.95,1680.91,1626.01,1666.96,370774.7696,2023-06-15 23:59:59.999000+00:00,611499814.542176,458568.0,192425.5156,317419943.086948
2023-06-16 00:00:00+00:00,1666.96,1729.5,1649.86,1717.92,311734.5904,2023-06-16 23:59:59.999000+00:00,525393264.962201,408176.0,158600.074,267168521.191646
2023-06-17 00:00:00+00:00,1717.91,1770.0,1714.26,1727.76,210914.9216,2023-06-17 23:59:59.999000+00:00,366944179.320637,359758.0,107260.8485,186631806.833697
2023-06-18 00:00:00+00:00,1727.75,1747.84,1712.0,1720.95,156535.0128,2023-06-18 23:59:59.999000+00:00,270948973.417484,273858.0,79223.6039,137159225.733412
2023-06-19 00:00:00+00:00,1720.95,1752.19,1698.0,1737.11,245162.7589,2023-06-19 23:59:59.999000+00:00,422827205.775489,366143.0,120432.5942,207735564.792355
2023-06-20 00:00:00+00:00,1737.1,1796.99,1714.72,1791.99,328855.6846,2023-06-20 23:59:59.999000+00:00,577529266.789217,459724.0,168345.9791,295848851.477509
2023-06-21 00:00:00+00:00,1791.99,1901.0,1787.38,1889.11,613755.8869,2023-06-21 23:59:59.999000+00:00,1132377905.488902,699689.0,301882.535,557089886.052912
2023-06-22 00:00:00+00:00,1889.1,1933.17,1865.98,1872.01,416714.5719,2023-06-22 23:59:59.999000+00:00,791056016.146176,536410.0,196874.686,373931527.580786
2023-06-23 00:00:00+00:00,1872.0,1936.42,1861.01,1892.63,401147.9324,2023-06-23 23:59:59.999000+00:00,760352485.336681,531784.0,196520.6502,372600003.369504
2023-06-24 00:00:00+00:00,1892.63,1906.0,1864.77,1874.96,226910.2941,2023-06-24 23:59:59.999000+00:00,427721477.76198,356654.0,108047.8764,203668990.458571
2023-06-25 00:00:00+00:00,1874.95,1930.0,1868.83,1898.8,338757.6158,2023-06-25 23:59:59.999000+00:00,644415530.040616,482753.0,170334.2642,323870595.292583
2023-06-26 00:00:00+00:00,1898.8,1909.1,1837.18,1858.97,458743.861,2023-06-26 23:59:59.999000+00:00,859537162.355614,518009.0,221834.2749,415653994.571015
2023-06-27 00:00:00+00:00,1858.97,1912.53,1855.19,1889.58,366634.5707,2023-06-27 23:59:59.999000+00:00,690855987.041332,437184.0,195382.3664,368354695.947731
2023-06-28 00:00:00+00:00,1889.58,1890.19,1816.56,1828.02,337836.5792,2023-06-28 23:59:59.999000+00:00,626358502.58848,437585.0,160645.2676,297804857.125455
2023-06-29 00:00:00+00:00,1828.03,1880.0,1827.84,1851.99,241844.8281,2023-06-29 23:59:59.999000+00:00,448678322.176822,350823.0,123194.6191,228587452.243649
2023-06-30 00:00:00+00:00,1851.99,1948.6,1825.01,1933.79,716538.1035,2023-06-30 23:59:59.999000+00:00,1353630452.615445,824889.0,345435.6526,653049175.245027
2023-07-01 00:00:00+00:00,1933.8,1944.56,1909.44,1924.5,178373.3688,2023-07-01 23:59:59.999000+00:00,343093755.612736,307019.0,88294.4703,169850518.153404
2023-07-02 00:00:00+00:00,1924.5,1959.2,1885.75,1937.48,255852.7832,2023-07-02 23:59:59.999000+00:00,491981842.960139,381133.0,127341.9623,244921036.01352
2023-07-03 00:00:00+00:00,1937.49,1976.16,1933.55,1955.54,322102.4295,2023-07-03 23:59:59.999000+00:00,631158998.811416,404084.0,156608.6405,306826484.736802
2023-07-04 00:00:00+00:00,1955.55,1967.08,1931.58,1936.2,205525.0984,2023-07-04 23:59:59.999000+00:00,401186997.249838,307691.0,93898.5422,183304067.882058
2023-07-05 00:00:00+00:00,1936.19,1942.5,1894.51,1910.36,267633.4783,2023-07-05 23:59:59.999000+00:00,512774138.218949,362985.0,128057.0596,245340739.075563
2023-07-06 00:00:00+00:00,1910.35,1958.0,1846.0,1846.17,456362.741,2023-07-06 23:59:59.999000+00:00,868009586.22327,519031.0,225559.182,429043301.004543
2023-07-07 00:00:00+00:00,1846.17,1878.0,1826.0,1870.91,232944.3466,2023-07-07 23:59:59.999000+00:00,432733381.054967,355260.0,115143.0873,213926654.205755
2023-07-08 00:00:00+00:00,1870.92,1876.0,1842.8,1865.24,125819.8273,2023-07-08 23:59:59.999000+00:00,234001180.804625,228589.0,62592.5197,116432999.11736
2023-07-09 00:00:00+00:00,1865.24,1879.36,1856.15,1862.8,135046.3743,2023-07-09 23:59:59.999000+00:00,252189550.05161,234925.0,67977.917,126943043.660608
2023-07-10 00:00:00+00:00,1862.81,1905.5,1846.63,1880.4,247868.1494,2023-07-10 23:59:59.999000+00:00,464186441.163382,338462.0,123964.154,232197400.111328
2023-07-11 00:00:00+00:00,1880.41,1891.99,1862.38,1878.3,177771.6117,2023-07-11 23:59:59.999000+00:00,333339876.932696,256360.0,85214.3301,159785569.139996
2023-07-12 00:00:00+00:00,1878.31,1902.0,1864.37,1871.82,264406.8673,2023-07-12 23:59:59.999000+00:00,498567734.559133,338468.0,127657.9526,240728674.896198
2023-07-13 00:00:00+00:00,1871.82,2012.63,1862.59,2004.49,548861.4207,2023-07-13 23:59:59.999000+00:00,1069502144.026194,618276.0,275375.0189,536826200.189522
2023-07-14 00:00:00+00:00,2004.49,2029.11,1898.39,1937.83,498724.0359,2023-07-14 23:59:59.999000+00:00,982369872.0199,604687.0,233071.082,459199490.677216
2023-07-15 00:00:00+00:00,1937.82,1946.37,1926.23,1931.41,135181.7663,2023-07-15 23:59:59.999000+00:00,261553961.167515,242818.0,65759.3938,127241697.857544
2023-07-16 00:00:00+00:00,1931.41,1943.55,1914.0,1922.11,148667.1051,2023-07-16 23:59:59.999000+00:00,286787440.456901,253770.0,69691.9153,134478359.190649
2023-07-17 00:00:00+00:00,1922.12,1936.18,1873.26,1911.2,277159.0349,2023-07-17 23:59:59.999000+00:00,528662412.297658,391391.0,134997.4387,257602038.119769
2023-07-18 00:00:00+00:00,1911.21,1917.19,1875.73,1897.21,215780.5006,2023-07-18 23:59:59.999000+00:00,409583830.876333,315100.0,104433.4023,198241004.728506
2023-07-19 00:00:00+00:00,1897.21,1922.04,1882.17,1888.63,218045.0005,2023-07-19 23:59:59.999000+00:00,415268112.543401,266831.0,108435.7397,206536797.50756
2023-07-20 00:00:00+00:00,1888.64,1929.05,1878.0,1891.59,292907.5164,2023-07-20 23:59:59.999000+00:00,556981450.455301,353180.0,146238.3371,278124518.645565
2023-07-21 00:00:00+00:00,1891.59,1905.74,1884.64,1891.73,165554.0428,2023-07-21 23:59:59.999000+00:00,313414135.895111,260385.0,80526.6642,152465025.971911
2023-07-22 00:00:00+00:00,1891.73,1897.35,1851.18,1866.52,131901.6487,2023-07-22 23:59:59.999000+00:00,247820592.768613,240897.0,63386.2807,119075556.079677
2023-07-23 00:00:00+00:00,1866.52,1905.25,1857.82,1888.73,153501.0178,2023-07-23 23:59:59.999000+00:00,288736391.861338,254227.0,77750.7953,146207958.769452
2023-07-24 00:00:00+00:00,1888.74,1890.86,1833.19,1850.0,276504.5547,2023-07-24 23:59:59.999000+00:00,512402907.457845,336366.0,132903.4964,246198594.777422
2023-07-25 00:00:00+00:00,1850.0,1868.71,1845.45,1857.66,152251.21,2023-07-25 23:59:59.999000+00:00,282696600.921257,248856.0,74772.6946,138842172.885674
2023-07-26 00:00:00+00:00,1857.66,1888.0,1848.35,1872.0,272090.5333,2023-07-26 23:59:59.999000+00:00,507049348.717311,319851.0,148093.9082,275939339.567176
2023-07-27 00:00:00+00:00,1871.99,1886.11,1854.84,1861.28,163766.4259,2023-07-27 23:59:59.999000+00:00,306463587.40202,252294.0,80701.93,151048244.460309
2023-07-28 00:00:00+00:00,1861.29,1883.39,1856.52,1874.19,138695.7147,2023-07-28 23:59:59.999000+00:00,259228467.502262,219389.0,70493.2035,131768046.050694
2023-07-29 00:00:00+00:00,1874.2,1886.58,1869.54,1880.46,72867.0269,2023-07-29 23:59:59.999000+00:00,136676328.67955,166385.0,35883.3501,67306690.351579
2023-07-30 00:00:00+00:00,1880.45,1885.3,1848.17,1861.79,158657.5902,2023-07-30 23:59:59.999000+00:00,296504225.221497,247858.0,82527.463,154244296.269244
2023-07-31 00:00:00+00:00,1861.79,1877.4,1851.02,1856.14,168204.4534,2023-07-31 23:59:59.999000+00:00,313517086.161755,246487.0,81667.8524,152228050.615145
2023-08-01 00:00:00+00:00,1856.13,1875.62,1813.8,1873.47,358476.0966,2023-08-01 23:59:59.999000+00:00,659100582.108448,411508.0,170424.3649,313392733.794412
2023-08-02 00:00:00+00:00,1873.48,1879.74,1821.21,1839.9,254213.0553,2023-08-02 23:59:59.999000+00:00,470466371.262786,331270.0,122977.5627,227628401.257956
2023-08-03 00:00:00+00:00,1839.9,1859.12,1826.0,1835.81,171148.052,2023-08-03 23:59:59.999000+00:00,315081750.38648,254918.0,84099.073,154854420.421639
2023-08-04 00:00:00+00:00,1835.81,1851.31,1815.74,1830.23,187699.4552,2023-08-04 23:59:59.999000+00:00,344687096.602038,256002.0,90965.1443,167095446.038227
2023-08-05 00:00:00+00:00,1830.24,1839.0,1827.5,1836.48,93657.3255,2023-08-05 23:59:59.999000+00:00,171683574.022643,174254.0,46888.3941,85951801.632353
2023-08-06 00:00:00+00:00,1836.48,1838.58,1825.86,1830.28,90403.9915,2023-08-06 23:59:59.999000+00:00,165701947.019345,169928.0,43827.8515,80334895.42593
2023-08-07 00:00:00+00:00,1830.28,1847.0,1802.0,1829.1,224092.9059,2023-08-07 23:59:59.999000+00:00,409166592.891649,289161.0,109927.115,200686537.155386
2023-08-08 00:00:00+00:00,1829.1,1876.51,1826.33,1856.3,236336.03,2023-08-08 23:59:59.999000+00:00,436891258.634858,322607.0,121075.1387,223753000.410186
2023-08-09 00:00:00+00:00,1856.3,1871.99,1846.28,1855.35,191926.8343,2023-08-09 23:59:59.999000+00:00,356559464.883318,266834.0,93172.6895,173114071.770235
2023-08-10 00:00:00+00:00,1855.36,1865.95,1845.38,1852.47,127321.4553,2023-08-10 23:59:59.999000+00:00,236043286.656351,208017.0,62527.3615,115937584.656644
2023-08-11 00:00:00+00:00,1852.47,1857.26,1838.05,1848.84,113209.3103,2023-08-11 23:59:59.999000+00:00,209237745.63836,197546.0,54665.6809,101048972.227958
2023-08-12 00:00:00+00:00,1848.84,1854.01,1846.08,1849.93,63292.6476,2023-08-12 23:59:59.999000+00:00,117106742.569844,154110.0,32218.9528,59615440.052437
2023-08-13 00:00:00+00:00,1849.94,1862.0,1834.51,1840.73,120674.1364,2023-08-13 23:59:59.999000+00:00,222956657.347428,211874.0,69109.1508,127637208.702245
2023-08-14 00:00:00+00:00,1840.73,1856.5,1835.0,1845.5,150196.1203,2023-08-14 23:59:59.999000+00:00,277387603.677403,244296.0,69702.7957,128731746.137513
2023-08-15 00:00:00+00:00,1845.5,1847.36,1814.0,1828.98,186081.6989,2023-08-15 23:59:59.999000+00:00,341622741.956271,264314.0,85927.3188,157737206.702051
2023-08-16 00:00:00+00:00,1828.98,1831.52,1798.17,1807.81,205430.7368,2023-08-16 23:59:59.999000+00:00,373631455.899558,311372.0,94619.3996,172094672.818027
2023-08-17 00:00:00+00:00,1807.81,1809.99,1550.0,1681.49,812138.2159,2023-08-17 23:59:59.999000+00:00,1390504308.003381,906515.0,389817.1811,666353412.643052
2023-08-18 00:00:00+00:00,1681.49,1699.4,1641.02,1661.59,538083.1018,2023-08-18 23:59:59.999000+00:00,901117750.717323,597838.0,256018.6718,428794110.089386
2023-08-19 00:00:00+00:00,1661.6,1696.72,1654.31,1669.67,231919.0485,2023-08-19 23:59:59.999000+00:00,387407573.3804,312174.0,116535.7301,194692011.360829
2023-08-20 00:00:00+00:00,1669.68,1694.75,1662.03,1685.24,195623.5263,2023-08-20 23:59:59.999000+00:00,327342264.94863,275035.0,94917.0042,158824704.099472
2023-08-21 00:00:00+00:00,1685.23,1688.59,1649.4,1667.55,250835.1518,2023-08-21 23:59:59.999000+00:00,418860905.067397,297843.0,117136.718,195605713.143898
2023-08-22 00:00:00+00:00,1667.56,1669.38,1580.0,1634.99,402012.045,2023-08-22 23:59:59.999000+00:00,657589420.923018,484314.0,187447.1847,306584459.756798
2023-08-23 00:00:00+00:00,1635.0,1702.11,1629.05,1679.61,374761.1088,2023-08-23 23:59:59.999000+00:00,622717740.76397,472134.0,180299.0885,299569404.886001
2023-08-24 00:00:00+00:00,1679.61,1683.37,1635.28,1661.16,231539.7805,2023-08-24 23:59:59.999000+00:00,383948287.500426,287178.0,111082.6585,184136212.632219
2023-08-25 00:00:00+00:00,1661.16,1677.22,1635.51,1653.8,236261.6898,2023-08-25 23:59:59.999000+00:00,390502520.582296,307211.0,114825.1861,189795100.574874
2023-08-26 00:00:00+00:00,1653.79,1655.59,1644.0,1647.04,79175.425,2023-08-26 23:59:59.999000+00:00,130634757.648333,157980.0,36874.9536,60839314.571021
2023-08-27 00:00:00+00:00,1647.03,1660.24,1646.32,1658.33,87789.9196,2023-08-27 23:59:59.999000+00:00,145109143.683836,163046.0,45374.4533,75003594.938715
2023-08-28 00:00:00+00:00,1658.33,1664.34,1621.75,1653.08,214351.0143,2023-08-28 23:59:59.999000+00:00,352868062.83225,274580.0,103654.5089,170648261.334814
2023-08-29 00:00:00+00:00,1653.08,1745.84,1640.0,1729.42,494371.0823,2023-08-29 23:59:59.999000+00:00,842464924.522092,504683.0,251594.2652,428870082.857159
2023-08-30 00:00:00+00:00,1729.41,1730.93,1694.34,1705.23,202841.4402,2023-08-30 23:59:59.999000+00:00,347291135.28552,308391.0,97462.2728,166837724.683157
